datetime,open,high,low,close
2024-01-01 00:00:00,1.10558,1.10534,1.10517,1.10586
2024-01-01 04:00:00,1.10558,1.10534,1.10554,1.10556
2024-01-01 08:00:00,1.10558,1.10534,1.1048,1.1061
2024-01-01 12:00:00,1.10558,1.10534,1.104,1.10483
2024-01-01 16:00:00,1.10558,1.10534,1.10484,1.10608
2024-01-01 20:00:00,1.10558,1.10534,1.10543,1.10569
2024-01-02 00:00:00,1.10387,1.10436,1.10307,1.10355
2024-01-02 04:00:00,1.10387,1.10461,1.10206,1.10315
2024-01-02 08:00:00,1.10387,1.10461,1.1027,1.10466
2024-01-02 12:00:00,1.10387,1.10461,1.1019,1.10309
2024-01-02 16:00:00,1.10387,1.10461,1.10323,1.10431
2024-01-02 20:00:00,1.10387,1.10461,1.10328,1.10427
2024-01-03 00:00:00,1.09418,1.09447,1.09369,1.09398
2024-01-03 04:00:00,1.09418,1.09419,1.09415,1.09417
2024-01-03 08:00:00,1.09418,1.09589,1.09315,1.09486
2024-01-03 12:00:00,1.09418,1.09443,1.09376,1.09401
2024-01-03 16:00:00,1.09418,1.09607,1.09304,1.09493
2024-01-03 20:00:00,1.09418,1.09427,1.09412,1.09421
2024-01-04 00:00:00,1.09278,1.09375,1.0917,1.09213
2024-01-04 04:00:00,1.09278,1.09403,1.09202,1.09328
2024-01-04 08:00:00,1.09278,1.09347,1.0917,1.09232
2024-01-04 12:00:00,1.09278,1.09299,1.09265,1.09286
2024-01-04 16:00:00,1.09278,1.09328,1.09195,1.09244
2024-01-04 20:00:00,1.09278,1.09404,1.09202,1.09328
2024-01-05 00:00:00,1.09474,1.09605,1.09395,1.09526
2024-01-05 04:00:00,1.09474,1.09541,1.09363,1.09429
2024-01-05 08:00:00,1.09474,1.09532,1.09439,1.09497
2024-01-05 12:00:00,1.09474,1.09571,1.09312,1.09409
2024-01-05 16:00:00,1.09474,1.09495,1.09439,1.0946
2024-01-05 20:00:00,1.09474,1.09571,1.09313,1.09409
2024-01-08 00:00:00,1.09422,1.09508,1.0928,1.09365
2024-01-08 04:00:00,1.09422,1.09491,1.09307,1.09376
2024-01-08 08:00:00,1.09422,1.09428,1.09413,1.09419
2024-01-08 12:00:00,1.09422,1.09524,1.09253,1.09355
2024-01-08 16:00:00,1.09422,1.09486,1.09316,1.0938
2024-01-08 20:00:00,1.09422,1.09541,1.09245,1.09343
2024-01-09 00:00:00,1.09517,1.09673,1.09421,1.09581
2024-01-09 04:00:00,1.09517,1.09538,1.09504,1.09525
2024-01-09 08:00:00,1.09517,1.09597,1.09384,1.09464
2024-01-09 12:00:00,1.09517,1.09673,1.09414,1.09586
2024-01-09 16:00:00,1.09517,1.09534,1.09507,1.09524
2024-01-09 20:00:00,1.09517,1.09627,1.09334,1.09444
2024-01-10 00:00:00,1.09324,1.09334,1.09318,1.09328
2024-01-10 04:00:00,1.09324,1.0938,1.09291,1.09347
2024-01-10 08:00:00,1.09324,1.09445,1.09252,1.09372
2024-01-10 12:00:00,1.09324,1.09458,1.09244,1.09378
2024-01-10 16:00:00,1.09324,1.09384,1.09234,1.09285
2024-01-10 20:00:00,1.09324,1.09512,1.09234,1.09399
2024-01-11 00:00:00,1.09751,1.0976,1.09738,1.09746
2024-01-11 04:00:00,1.09751,1.09808,1.09657,1.09714
2024-01-11 08:00:00,1.09751,1.09771,1.0974,1.09759
2024-01-11 12:00:00,1.09751,1.09781,1.09702,1.09732
2024-01-11 16:00:00,1.09751,1.09823,1.09633,1.09704
2024-01-11 20:00:00,1.09751,1.09914,1.09652,1.09818
2024-01-12 00:00:00,1.09816,1.09866,1.09711,1.09887
2024-01-12 04:00:00,1.09816,1.09866,1.09735,1.0987
2024-01-12 08:00:00,1.09816,1.09833,1.0979,1.09806
2024-01-12 12:00:00,1.09816,1.09866,1.09765,1.09851
2024-01-12 16:00:00,1.09816,1.09866,1.09732,1.09873
2024-01-12 20:00:00,1.09816,1.09866,1.09648,1.09749
2024-01-15 00:00:00,1.09457,1.09479,1.09421,1.09443
2024-01-15 04:00:00,1.09457,1.09514,1.09423,1.0948
2024-01-15 08:00:00,1.09457,1.09589,1.09343,1.09533
2024-01-15 12:00:00,1.09457,1.09539,1.09408,1.0949
2024-01-15 16:00:00,1.09457,1.09512,1.09424,1.09479
2024-01-15 20:00:00,1.09457,1.09528,1.09341,1.0941
2024-01-16 00:00:00,1.09457,1.09467,1.09374,1.09424
2024-01-16 04:00:00,1.09457,1.09467,1.09321,1.09403
2024-01-16 08:00:00,1.09457,1.09467,1.09379,1.09426
2024-01-16 12:00:00,1.09457,1.09467,1.09405,1.09492
2024-01-16 16:00:00,1.09457,1.09467,1.09347,1.0953
2024-01-16 20:00:00,1.09457,1.09467,1.09263,1.0938
2024-01-17 00:00:00,1.08788,1.08833,1.08713,1.08758
2024-01-17 04:00:00,1.08788,1.08849,1.08607,1.08716
2024-01-17 08:00:00,1.08788,1.08849,1.08698,1.08848
2024-01-17 12:00:00,1.08788,1.08849,1.08741,1.08819
2024-01-17 16:00:00,1.08788,1.08849,1.0871,1.0884
2024-01-17 20:00:00,1.08788,1.08849,1.08687,1.08855
2024-01-18 00:00:00,1.08858,1.08941,1.08719,1.08802
2024-01-18 04:00:00,1.08858,1.08865,1.08846,1.08853
2024-01-18 08:00:00,1.08858,1.08876,1.08847,1.08865
2024-01-18 12:00:00,1.08858,1.08864,1.08854,1.0886
2024-01-18 16:00:00,1.08858,1.08946,1.08805,1.08893
2024-01-18 20:00:00,1.08858,1.08987,1.0878,1.08909
2024-01-19 00:00:00,1.08791,1.08855,1.08686,1.08749
2024-01-19 04:00:00,1.08791,1.08886,1.08683,1.08728
