datetime,open,high,low,close
2021-01-01 00:00:00,1.21729,1.2181,1.21687,1.21768
2021-01-01 04:00:00,1.21741,1.21754,1.21738,1.21751
2021-01-01 08:00:00,1.21753,1.21896,1.21675,1.21818
2021-01-01 12:00:00,1.21766,1.21878,1.21591,1.21703
2021-01-01 16:00:00,1.21778,1.21914,1.21704,1.2184
2021-01-01 20:00:00,1.2179,1.21829,1.21775,1.21813
2021-01-04 00:00:00,1.2249,1.22539,1.22412,1.22461
2021-01-04 04:00:00,1.22493,1.22602,1.22315,1.22423
2021-01-04 08:00:00,1.22496,1.22695,1.22378,1.22577
2021-01-04 12:00:00,1.22499,1.22617,1.22304,1.22423
2021-01-04 16:00:00,1.22501,1.22612,1.22437,1.22547
2021-01-04 20:00:00,1.22504,1.22606,1.22445,1.22546
2021-01-05 00:00:00,1.2253,1.22559,1.22499,1.22508
2021-01-05 04:00:00,1.22527,1.22529,1.22523,1.22524
2021-01-05 08:00:00,1.22525,1.22694,1.22499,1.22591
2021-01-05 12:00:00,1.22523,1.22548,1.22499,1.22504
2021-01-05 16:00:00,1.2252,1.22708,1.22499,1.22594
2021-01-05 20:00:00,1.22518,1.22526,1.22512,1.2252
2021-01-06 00:00:00,1.22986,1.23084,1.22826,1.22924
2021-01-06 04:00:00,1.22989,1.23117,1.22914,1.23042
2021-01-06 08:00:00,1.22992,1.23061,1.22879,1.22948
2021-01-06 12:00:00,1.22994,1.23019,1.22981,1.23006
2021-01-06 16:00:00,1.22997,1.23047,1.22917,1.22967
2021-01-06 20:00:00,1.23,1.23129,1.22924,1.23053
2021-01-07 00:00:00,1.23378,1.23457,1.23299,1.23436
2021-01-07 04:00:00,1.23383,1.2345,1.23277,1.23344
2021-01-07 08:00:00,1.23389,1.23452,1.23354,1.23418
2021-01-07 12:00:00,1.23394,1.23457,1.23238,1.23335
2021-01-07 16:00:00,1.234,1.23421,1.2337,1.23391
2021-01-07 20:00:00,1.23406,1.23457,1.2325,1.23347
2021-01-08 00:00:00,1.22687,1.22773,1.22549,1.22635
2021-01-08 04:00:00,1.22692,1.22761,1.22581,1.2265
2021-01-08 08:00:00,1.22696,1.22703,1.22691,1.22697
2021-01-08 12:00:00,1.22701,1.22802,1.22536,1.22638
2021-01-08 16:00:00,1.22705,1.22769,1.22604,1.22668
2021-01-08 20:00:00,1.2271,1.22821,1.22517,1.22635
2021-01-11 00:00:00,1.21878,1.21996,1.21783,1.21939
2021-01-11 04:00:00,1.21876,1.21894,1.21863,1.21881
2021-01-11 08:00:00,1.21873,1.21953,1.21737,1.21817
2021-01-11 12:00:00,1.2187,1.21996,1.21767,1.21936
2021-01-11 16:00:00,1.21867,1.21882,1.21857,1.21872
2021-01-11 20:00:00,1.21865,1.21975,1.21679,1.21789
2021-01-12 00:00:00,1.21616,1.21624,1.2161,1.21619
2021-01-12 04:00:00,1.21615,1.21669,1.21581,1.21635
2021-01-12 08:00:00,1.21613,1.21732,1.21541,1.2166
2021-01-12 12:00:00,1.21612,1.21744,1.21531,1.21664
2021-01-12 16:00:00,1.2161,1.21669,1.2151,1.21569
2021-01-12 20:00:00,1.21609,1.21785,1.21496,1.21682
2021-01-13 00:00:00,1.22093,1.22101,1.22079,1.22087
2021-01-13 04:00:00,1.22092,1.22149,1.21997,1.22054
2021-01-13 08:00:00,1.22091,1.22111,1.2208,1.22099
2021-01-13 12:00:00,1.22091,1.2212,1.22041,1.22071
2021-01-13 16:00:00,1.2209,1.22161,1.21971,1.22042
2021-01-13 20:00:00,1.2209,1.22249,1.2199,1.22155
2021-01-14 00:00:00,1.21618,1.21729,1.21512,1.21689
2021-01-14 04:00:00,1.21619,1.21729,1.21538,1.21674
2021-01-14 08:00:00,1.2162,1.21636,1.21594,1.2161
2021-01-14 12:00:00,1.21621,1.21709,1.21569,1.21657
2021-01-14 16:00:00,1.21622,1.21729,1.21538,1.2168
2021-01-14 20:00:00,1.21624,1.21725,1.21457,1.21558
2021-01-15 00:00:00,1.2153,1.21552,1.21491,1.21513
2021-01-15 04:00:00,1.21527,1.21581,1.21493,1.21547
2021-01-15 08:00:00,1.21524,1.21625,1.2141,1.21598
2021-01-15 12:00:00,1.21521,1.21601,1.21472,1.21551
2021-01-15 16:00:00,1.21518,1.2157,1.21486,1.21537
2021-01-15 20:00:00,1.21515,1.21586,1.21395,1.21465
2021-01-18 00:00:00,1.20672,1.20722,1.20591,1.20641
2021-01-18 04:00:00,1.20674,1.20755,1.20555,1.20621
2021-01-18 08:00:00,1.20675,1.20722,1.20598,1.20645
2021-01-18 12:00:00,1.20677,1.20766,1.20624,1.20713
2021-01-18 16:00:00,1.20678,1.20862,1.20568,1.20753
2021-01-18 20:00:00,1.2068,1.20796,1.20555,1.20604
2021-01-19 00:00:00,1.20785,1.2083,1.20785,1.20753
2021-01-19 04:00:00,1.20783,1.20891,1.20785,1.20709
2021-01-19 08:00:00,1.20781,1.20929,1.20785,1.20839
2021-01-19 12:00:00,1.20779,1.20854,1.20785,1.20808
2021-01-19 16:00:00,1.20777,1.20906,1.20785,1.20827
2021-01-19 20:00:00,1.20775,1.2094,1.20785,1.2084
2021-01-20 00:00:00,1.21395,1.21478,1.21255,1.21338
2021-01-20 04:00:00,1.21394,1.21401,1.21381,1.21388
2021-01-20 08:00:00,1.21393,1.2141,1.21382,1.21399
2021-01-20 12:00:00,1.21392,1.21397,1.21388,1.21393
2021-01-20 16:00:00,1.21391,1.21478,1.21338,1.21425
2021-01-20 20:00:00,1.2139,1.21518,1.21312,1.2144
2021-01-21 00:00:00,1.21153,1.21217,1.21099,1.21112
2021-01-21 04:00:00,1.21154,1.21249,1.21099,1.21091
2021-01-21 08:00:00,1.21154,1.212,1.21127,1.21173
2021-01-21 12:00:00,1.21155,1.21216,1.21099,1.21114
2021-01-21 16:00:00,1.21155,1.21287,1.21099,1.21208
2021-01-21 20:00:00,1.21156,1.21164,1.21143,1.21151
2021-01-22 00:00:00,1.21662,1.21738,1.21616,1.21693
2021-01-22 04:00:00,1.21662,1.21697,1.21604,1.21639
2021-01-22 08:00:00,1.21662,1.21757,1.2152,1.21599
2021-01-22 12:00:00,1.21662,1.21711,1.21582,1.2163
2021-01-22 16:00:00,1.21663,1.21743,1.21528,1.21609
2021-01-22 20:00:00,1.21663,1.21727,1.21556,1.2162
2021-01-25 00:00:00,1.21686,1.21705,1.21675,1.21694
2021-01-25 04:00:00,1.21687,1.21722,1.21631,1.21665
2021-01-25 08:00:00,1.21689,1.21788,1.2163,1.21729
2021-01-25 12:00:00,1.2169,1.21751,1.21654,1.21715
2021-01-25 16:00:00,1.21692,1.21801,1.21627,1.21736
2021-01-25 20:00:00,1.21693,1.21811,1.21623,1.21741
2021-01-26 00:00:00,1.21433,1.21448,1.21427,1.21442
2021-01-26 04:00:00,1.21438,1.21496,1.21345,1.21404
2021-01-26 08:00:00,1.21443,1.21646,1.21324,1.21527
2021-01-26 12:00:00,1.21448,1.21542,1.21295,1.2139
2021-01-26 16:00:00,1.21453,1.21473,1.21423,1.21444
2021-01-26 20:00:00,1.21457,1.2154,1.21324,1.21407
2021-01-27 00:00:00,1.21632,1.21635,1.21631,1.21633
2021-01-27 04:00:00,1.21632,1.21714,1.21558,1.21681
2021-01-27 08:00:00,1.21632,1.21638,1.21621,1.21627
2021-01-27 12:00:00,1.21631,1.21647,1.21604,1.2162
2021-01-27 16:00:00,1.21631,1.21671,1.21563,1.21603
2021-01-27 20:00:00,1.2163,1.21714,1.21461,1.21562
2021-01-28 00:00:00,1.21048,1.21138,1.20994,1.21084
2021-01-28 04:00:00,1.21048,1.21149,1.20988,1.21089
2021-01-28 08:00:00,1.21049,1.21095,1.21021,1.21068
2021-01-28 12:00:00,1.21049,1.21211,1.20953,1.21114
2021-01-28 16:00:00,1.2105,1.21138,1.20903,1.20992
2021-01-28 20:00:00,1.2105,1.21122,1.20931,1.21003
2021-01-29 00:00:00,1.21214,1.21351,1.2113,1.21267
2021-01-29 04:00:00,1.21211,1.21274,1.21173,1.21235
2021-01-29 08:00:00,1.21209,1.21214,1.21205,1.2121
2021-01-29 12:00:00,1.21207,1.21314,1.21142,1.21248
2021-01-29 16:00:00,1.21205,1.21313,1.21138,1.21247
2021-01-29 20:00:00,1.21203,1.21222,1.21189,1.21209
2021-02-01 00:00:00,1.21228,1.21306,1.21183,1.2126
2021-02-01 04:00:00,1.2123,1.2129,1.21131,1.21192
2021-02-01 08:00:00,1.21232,1.21315,1.21183,1.21266
2021-02-01 12:00:00,1.21233,1.21258,1.21195,1.21219
2021-02-01 16:00:00,1.21235,1.21284,1.21207,1.21256
2021-02-01 20:00:00,1.21237,1.21279,1.21213,1.21255
2021-02-02 00:00:00,1.20677,1.20723,1.2065,1.20696
2021-02-02 04:00:00,1.20678,1.20761,1.2063,1.20713
2021-02-02 08:00:00,1.2068,1.20782,1.20513,1.20614
